"Lance.code","Lon","Lat"
"1701_1",-80.6277,-3.3971
"1701_2",-80.9100833333333,-3.6351
"1701_3",-80.9819333333333,-3.6583
"1702_1",-80.9710833333333,-3.62833333333333
"1702_2",-80.93505,-3.58433333333333
"1703_1",-80.9356666666667,-3.49998333333333
"1703_2",-81.04405,-3.48508333333333
"1703_3",-81.0747666666667,-3.629
"1703_4",-81.0255,-3.59983333333333
"1703_5",-81.0451333333333,-3.60836666666667
"1704_1",-80.965,-3.66235
"1704_2",-80.9428333333333,-3.58333333333333
"1704_3",-80.96,-3.625
"1705_1",-80.1580166666667,-6.67636666666667
"1705_2",-80.2896666666667,-6.78395
"1705_3",-80.32465,-6.79573333333333
"1705_4",-80.3450833333333,-6.78133333333333
"1705_5",-80.3240333333333,-6.8303
"1705_6",-80.29685,-6.87373333333333
"1705_7",-80.316,-6.86181666666667
"1705_8",-80.2937166666667,-6.85503333333333
"1706_1",-80.1499833333333,-6.72873333333333
"1706_2",-80.4089333333333,-6.62926666666667
"1706_3",-80.4385833333333,-6.63811666666667
"1706_4",-80.59265,-6.62361666666667
"1706_5",-80.6359833333333,-6.5917
"1706_6",-80.18705,-6.6627
"1706_7",-80.1333666666667,-6.66691666666667
"1706_8",-80.0895333333333,-6.68796666666667
"1707_1",-80.3878166666667,-6.67521666666667
"1707_2",-80.5451666666667,-6.5953
"1707_3",-80.5512166666667,-6.61666666666667
"1707_4",-80.3909,-6.74066666666667
"1707_5",-80.2555,-6.83576666666667
"1707_6",-80.0531666666667,-7.14028333333333
"1707_7",-80.0429333333333,-7.16526666666667
"1708_1",-80.0281,-6.7708
"1708_2",-80.2328666666667,-7.07176666666667
"1708_3",-80.2538833333333,-6.95118333333333
"1708_4",-80.2704166666667,-6.93195
"1708_5",-80.24695,-6.89963333333333
"1708_6",-80.2285,-6.8562
"1708_7",-80.1660166666667,-6.92316666666667
"1709_1",-79.9840666666667,-6.95258333333333
"1709_2",-80.0433166666667,-7.06198333333333
"1709_3",-80.05965,-7.062
