"Lance.code","Km.day"
"65_1",0.332128080344123
"66_1",0.276403166618062
"66_2",0.23951270414115
"67_1",0.37303415415087
"68_1",NA
"69_1",0.19508466389618
"70_1",0.310996281714786
"70_2",0.246062992125984
"71_1",NA
"72_1",0.498186424613591
"72_2",0.530174613589969
"73_1",0.656167979002624
"73_2",NA
"74_1",0.779199475065616
"75_1",NA
"76_1",0.436590933945756
"77_1",0.724518810148732
"78_1",0.878308180227472
"79_1",0.673198727763194
"80_1",0.818159448818897
"81_1",NA
"82_1",NA
"83_1",0.317500243025179
"83_2",0.369653446097016
"84_1",0.318780681928649
"85_1",NA
"86_1",0.145587270341207
"87_1",0.227950021872265
"88_1",0.224361603237095
"89_1",0.216159503499562
"90_1",0.222994586614173
"91_1",0.225557742782152
"93_1",0.528055737824439
"93_2",0.456048137212016
"94_1",0.444565197579468
"95_1",NA
"96_1",NA
"97_1",0.345152710945855
"99_1",NA
"100_1",NA
"100_2",NA
"101_1",NA
"129_1",0.791666666666665
"129_2",0.6
"129_3",0.591666666666665
"129_4",0.358333333333333
"129_5",0.7375
"129_6",0.633333333333335
"129_7",0.466666666666667
"140_1",0.187964785651794
"140_2",0.382195064158647
"140_3",0.319540135608049
"140_4",0.375929571303587
"140_5",0.317451637989697
"152_1",0.375929571303587
"152_2",0.383448162729658
"152_3",0.433572105570138
"152_4",0.428559711286089
"152_5",0.511264216972878
"152_6",0.528807596967044
"152_7",0.375929571303587
"155_1",NA
"156_1",0.328083989501312
"157_1",0.419218431029455
"158_1",NA
"160_1",0.61875
"160_2",0.568333333333331
"160_3",0.504166666666667
"160_4",0.44
"160_5",0.284166666666667
"165_1",0.563020833333333
"165_2",0.622916666666667
"165_3",0.722743055555554
"165_4",0.726736111111113
"165_5",0.710763888888887
"165_6",0.407291666666667
"169_1",0.422916666666667
"169_2",0.490972222222221
"169_3",0.189583333333333
"169_4",0.260069444444445
"169_5",0.374305555555555
"169_6",NA
"169_7",0.469097222222221
"172_1",NA
"172_2",0.21
"172_3",0.253333333333334
"172_4",0.321666666666666
"172_5",0.141666666666667
"172_6",0.316666666666666
"172_7",0.298333333333334
"172_8",0.323333333333334
"172_9",0.163333333333333
"175_1",0.293333333333334
"175_2",0.328333333333334
"175_3",0.155
"175_4",0.146666666666667
"175_5",0.355
"175_6",0.346666666666666
"175_7",0.196666666666667
"175_8",0.143333333333333
"175_9",0.359333333333334
"177_1",0.246290828229805
"177_2",0.289522728929717
"177_3",0.281662383347915
"177_4",0.251531058617672
"177_5",0.246290828229805
"177_6",0.22139973388743
"177_7",0.247600885826771
"177_8",0.100874434966462
"181_1",0.910000000000002
"181_2",0.859999999999998
"181_3",0.739999999999998
"181_4",0.87
"181_5",0.904999999999998
"181_6",0.859999999999998
"181_7",0.859999999999998
"181_8",1.025
"181_9",0.57
"186_1",0.4725
"186_2",0.522812500000001
"186_3",0.542500000000001
"186_4",0.507499999999999
"186_5",0.365312500000001
"186_6",0.310624999999999
"186_7",0.4711875
"186_8",0.417812500000001
"186_9",0.470312500000001
"187_1",0.503125000000001
"187_2",0.450625000000001
"187_3",0.358750000000001
"187_4",0.365312500000001
"187_5",0.483437500000001
"187_6",0.540312499999999
"187_7",0.463750000000001
"187_8",0.3675
"188_1",0.4265625
"188_2",0.4003125
"188_3",0.39375
"188_4",0.496562500000001
"188_5",0.448437499999999
"188_6",0.430937500000001
"189_1",0.380625
"189_2",0.485625
"189_3",0.409062499999999
"189_4",0.380625
"189_5",0.444062500000001
"189_6",0.474687499999999
"189_7",0.3675
"189_8",0.4396875
"189_9",0.457187500000001
"196_1",0.192711371148051
"196_2",0.291060622630505
"196_3",0.251189304461942
"196_4",0.233911733255566
"196_5",0.322957677165355
"196_6",0.305680105958978
"222_1",0.388650420433556
"222_2",0.397384137746672
"222_3",0.423585289686012
"222_4",0.402187682268883
"222_5",0.423585289686012
"222_6",0.417035001701177
"222_7",0.403061054000194
"222_8",0.317907310197336
"222_9",0.41266814304462
"222_10",0.390833849761836
"222_11",NA
"225_1",0.573577391367746
"225_2",0.17315543890347
"225_3",0.169548033926315
"225_4",0.174959141392048
