Trip code,Lance #,mammal code,Lights,Animal code,Latitude,Longitude,Species,Condition,State,Length,Sex,Young - length,Young - sex,Use,Sample?,Photo #s,Comments,photo link,photo link 2
189,1,254,,gvh,,,4,2,2,,,,,1,TRUE,,,,
189,1,255,,gvh,,,3,2,2,,,,,1,TRUE,,,,
189,1,256,,gvh,,,3,2,2,197.00,,,,1,TRUE,,Dientes:  28/30,,
189,5,246,,gvh,,,,,,,,,,,FALSE,,,,
189,9,247,,gvh,,,2,2,2,136.00,,,,1,TRUE,,Dientes:  20/17,,
191,1,258,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,347,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,348,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,349,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,350,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,351,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,352,,gvh,,,3,2,5,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,353,,gvh,,,3,2,5,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,354,,gvh,,,3,2,1,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,355,,gvh,,,3,2,1,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,2,257,,gvh,,,3,1,2,,,,,2,TRUE,"18,19,20,21",Se enredo de la cola un delfin de altura de gran tamano y de color marron claro.,TC191-02-MC257 L.obscurus,
191,2,259,,gvh,,,6,1,1,,,,,2,TRUE,,delfin,,
191,2,260,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
191,2,261,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
191,2,262,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
191,2,263,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
191,2,264,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
196,1,3,,gvh-952,,,1,1,1,207.00,2,,,1,TRUE,27,"Capturado antes del primer lance, 27/09/2005",TC196-01-MC03 D.capensis,
196,1,4,,gvh-953,,,1,,2,185.00,1,,,1,TRUE,26,"Capturado antes del primer lance, 27/09/2005",,
196,1,5,,gvh-954,,,1,,2,210.00,2,,,1,TRUE,25,"Capturado antes del primer lance, 27/09/2005",,
196,1,6,,gvh-955,,,1,,2,206.00,2,,,1,TRUE,25,"Capturado antes del primer lance, 27/09/2005",,
196,1,7,,gvh-959,,,1,2,2,132.00,1,,,1,TRUE,24,,TC196-01-MC07 lobsc male,
196,4,8,,gvh-967,,,3,2,2,160.00,2,,,1,TRUE,18,,"TC196-04-MC08 lobs, female",
196,4,9,,gvh-968,,,3,2,2,181.00,2,,,1,TRUE,18,,,
196,4,10,,gvh-969,,,3,2,2,168.00,2,,,1,TRUE,17,,,
196,4,11,,gvh-970,,,3,2,2,178.00,2,,,1,TRUE,16,,,
196,4,12,,gvh-971,,,3,2,2,157.00,1,,,1,TRUE,14,,,
196,4,13,,gvh-972,,,3,2,2,165.00,1,,,1,TRUE,13,,,
196,4,14,,gvh-973,,,3,2,2,180.00,1,,,1,TRUE,12,,,
196,5,15,,gvh-975,,,3,2,2,179.00,2,,,1,TRUE,11,Con 1 cría.,TC196-05-MC15 or MC16 obscurus,
196,5,16,,gvh-976,,,3,2,2,180.00,2,,,1,TRUE,8,,TC196-05-MC15 or MC16 obscurus,
196,5,17,,gvh-977,,,3,2,2,196.00,2,,,1,TRUE,7,Con 1 cría,TC196-05-MC17 foetusobs,
196,5,18,,gvh-978,,,3,2,2,183.00,2,,,1,TRUE,5,,,
196,5,19,,gvh-979,,,3,2,2,182.00,2,,,1,TRUE,4,,,
196,5,20,,gvh-980,,,3,1,2,,2,,,5,FALSE,1,,TC196-05-MC20 obscurus,
222,8,266,,gvh-1064a,,,1,2,2,208.00,2,,,1,TRUE,"20,21",,TC222-08-MC266 dcap,
225,5,169,,gvh-1100,,,1,2,2,,1,,,8,TRUE,24,,,
233,1,33,,gvh-1335,,,1,2,2,213.00,1,,,6,TRUE,9,,,
233,4,279,,,,,8,2,2,,2,,,,FALSE,,se amallo un lobo (hembra) y se ahogo,,
233,7,34,,gvh-1336,,,1,2,2,174.00,1,,,6,TRUE,,Los Locos se enmallan en las noches al no observar la red. El chancho es usado como carnada cuando hay presencia de tiburón azul.,,
233,7,35,,gvh-1337,,,1,2,2,,,,,6,TRUE,,"No se subió a la embarcación, se cortó la cola y se soltó al mar.",,
233,8,280,,,,,8,1,2,,2,,,6,FALSE,,Se amallo un lobo (female) que estaba vivo luego fue ahogado para poder retirarlo de la malla,,
234,3,23,,ass-A16,,,2,2,2,126.00,1,,,8,TRUE,20-21,Uso: para comer en la casa.,TC234-03-MC23 pspi,
235,7,24,,gvh-1397,,,1,2,2,208.00,1,,,6,TRUE,25-24,,TC235-07-MC24 dcap,
